Corrêa,PP,1120,RJ
MM,PMDB,1500,RJ
Holiday,DEM,2500,SP
Alana Passos,PSL,1712,RJ
Abraão Da Melgil,PODE,1977,RJ
Adelson Guedes,PT,1301,RJ
Carlos Waldomiro,PPL,5421,RJ
Carol Barbosa,PHS,3190,RJ
Claudia Cottas,PSC,2010,RJ
David Marques,PSDB,4545,RJ
Abigail,PRP,4400,SP
Adilson Da Copa,PHS,3103,SP
Adriana Azevedo,PC DO B,6534,SP
Claudio Vitorino Kadu,AVANTE,7067,SP
Dr Julio Casarin,PSL,1705,SP
Dr Almir Alexandres,PATRI,5160,SP
Caio Takeda,PSL,1707,SP
Cal,PHS,3155,SP
Francisco Severiano,PRTB,2835,SP
Georges Habib,SOLIDARIEDADE,7747,SP
Geraldo Cruz,PT,1314,SP
Frederico D Avila,PSL,1711,ES
Gabriel Cassiano,PDT,1200,ES
Garcia,PTC,3666,ES
Geraldo Da Bombonieri,PODE,1956,ES
Luciano Batista,PR,2240,ES
Luiz Dapaz,AVANTE,7096,ES
Magela,PC DO B,6530,MG
Major Edson Miguel,PSL,1711,MG
Michelline Tavares,PATRI,5145,MG
Milton Lopes,PMN,3301,MG
Miriam Das Flores,PC DO B,6561,MG